id,genre,instrument,mood/theme
gBR_sBM_c01_d04_mBR1_ch03_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch03_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch04_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch04_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch05_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch05_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch06_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch06_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch07_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch07_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch08_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch08_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch09_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch09_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d04_mBR1_ch10_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d04_mBR1_ch10_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch03_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch03_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch04_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch04_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch05_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch05_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch06_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch06_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch07_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch07_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch08_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch08_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch09_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch09_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sBM_c01_d05_mBR1_ch10_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sBM_c01_d05_mBR1_ch10_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d04_mBR1_ch02_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d04_mBR1_ch02_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d04_mBR1_ch02_3,metal,"synthesizer,drums,drummachine",energetic
gBR_sFM_c01_d04_mBR1_ch02_4,instrumentalpop,"drummachine,drums,acousticguitar",energetic
gBR_sFM_c01_d04_mBR1_ch02_5,poprock,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d04_mBR1_ch02_6,metal,"drummachine,acousticguitar,drums",energetic
gBR_sFM_c01_d04_mBR1_ch02_7,poprock,"drummachine,drums,piano",energetic
gBR_sFM_c01_d04_mBR1_ch02_8,hiphop,"drummachine,bass,drums",energetic
gBR_sFM_c01_d05_mBR1_ch08_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d05_mBR1_ch08_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d05_mBR1_ch08_3,metal,"synthesizer,drums,drummachine",energetic
gBR_sFM_c01_d05_mBR1_ch08_4,instrumentalpop,"drummachine,drums,acousticguitar",energetic
gBR_sFM_c01_d05_mBR1_ch08_5,poprock,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d05_mBR1_ch08_6,metal,"drummachine,acousticguitar,drums",energetic
gBR_sFM_c01_d05_mBR1_ch08_7,poprock,"drummachine,drums,piano",energetic
gBR_sFM_c01_d05_mBR1_ch08_8,hiphop,"drummachine,bass,drums",energetic
gBR_sFM_c01_d06_mBR1_ch15_1,metal,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d06_mBR1_ch15_2,metal,"drummachine,drums,synthesizer",energetic
gBR_sFM_c01_d06_mBR1_ch15_3,metal,"synthesizer,drums,drummachine",energetic
gBR_sFM_c01_d06_mBR1_ch15_4,instrumentalpop,"drummachine,drums,acousticguitar",energetic
gBR_sFM_c01_d06_mBR1_ch15_5,poprock,"drummachine,piano,acousticguitar",energetic
gBR_sFM_c01_d06_mBR1_ch15_6,metal,"drummachine,acousticguitar,drums",energetic
gBR_sFM_c01_d06_mBR1_ch15_7,poprock,"drummachine,drums,piano",energetic
gBR_sFM_c01_d06_mBR1_ch15_8,hiphop,"drummachine,bass,drums",energetic
gBR_sBM_c01_d04_mBR2_ch03_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch03_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch04_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch04_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch05_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch05_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch06_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch06_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch07_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch07_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch08_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch08_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch09_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch09_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch10_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d04_mBR2_ch10_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch03_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch03_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch04_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch04_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch05_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch05_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch06_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch06_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch07_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch07_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch08_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch08_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch09_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch09_2,reggae,"voice,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch10_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sBM_c01_d06_mBR2_ch10_2,reggae,"voice,drummachine,guitar",film
gBR_sFM_c01_d04_mBR2_ch03_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sFM_c01_d04_mBR2_ch03_2,reggae,"voice,guitar,drummachine",film
gBR_sFM_c01_d04_mBR2_ch03_3,reggae,"acousticguitar,guitar,computer",film
gBR_sFM_c01_d04_mBR2_ch03_4,hiphop,"voice,guitar,drums",film
gBR_sFM_c01_d04_mBR2_ch03_5,reggae,"drummachine,guitar,voice",film
gBR_sFM_c01_d04_mBR2_ch03_6,hiphop,"drummachine,guitar,voice",film
gBR_sFM_c01_d04_mBR2_ch03_7,reggae,"drummachine,voice,synthesizer",film
gBR_sFM_c01_d04_mBR2_ch03_8,hiphop,"drums,synthesizer,voice",energetic
gBR_sFM_c01_d05_mBR2_ch09_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sFM_c01_d05_mBR2_ch09_2,reggae,"voice,guitar,drummachine",film
gBR_sFM_c01_d05_mBR2_ch09_3,reggae,"acousticguitar,guitar,computer",film
gBR_sFM_c01_d05_mBR2_ch09_4,hiphop,"voice,guitar,drums",film
gBR_sFM_c01_d05_mBR2_ch09_5,reggae,"drummachine,guitar,voice",film
gBR_sFM_c01_d05_mBR2_ch09_6,hiphop,"drummachine,guitar,voice",film
gBR_sFM_c01_d05_mBR2_ch09_7,reggae,"drummachine,voice,synthesizer",film
gBR_sFM_c01_d05_mBR2_ch09_8,hiphop,"drums,synthesizer,voice",energetic
gBR_sFM_c01_d06_mBR2_ch16_1,reggae,"acousticguitar,drummachine,guitar",film
gBR_sFM_c01_d06_mBR2_ch16_2,reggae,"voice,guitar,drummachine",film
